route_id,trip_id,trip_headsign,service_id
4,785,To Plaza Suites & Embassy Suites Santa Clara,0
4,786,To Plaza Suites & Embassy Suites Santa Clara,0
4,787,To Plaza Suites & Embassy Suites Santa Clara,0
4,780,To Plaza Suites & Embassy Suites Santa Clara,0
4,781,To Plaza Suites & Embassy Suites Santa Clara,0
4,782,To Plaza Suites & Embassy Suites Santa Clara,0
4,783,To Plaza Suites & Embassy Suites Santa Clara,0
4,788,To Plaza Suites & Embassy Suites Santa Clara,0
4,789,To Plaza Suites & Embassy Suites Santa Clara,0
8,605,"Hyatt Regency Embarcadero, via Millbrae BART",2
2,579,To The Domain Hotel & Wild Palms Hotel,2
2,578,To The Domain Hotel & Wild Palms Hotel,2
8,604,"Hyatt Regency Embarcadero, via Millbrae BART",2
2,573,To The Domain Hotel & Wild Palms Hotel,2
2,572,To The Domain Hotel & Wild Palms Hotel,2
2,571,To The Domain Hotel & Wild Palms Hotel,2
2,570,To The Domain Hotel & Wild Palms Hotel,2
2,577,To The Domain Hotel & Wild Palms Hotel,2
2,576,To The Domain Hotel & Wild Palms Hotel,2
2,575,To The Domain Hotel & Wild Palms Hotel,2
2,574,To The Domain Hotel & Wild Palms Hotel,2
1,60,To Shoreline,3
1,61,To Shoreline,3
7,258,To Shoreline,2
